﻿Climate,Country Region,Country/Region,Province/State,Avg. Confirmed Cases
Tropical,Zimbabwe,Zimbabwe,,"3,873.28"
Tropical,Zambia,Zambia,,"7,054.73"
Tropical,Yemen,Yemen,,"1,108.13"
Subtropics,West Bank and Gaza,West Bank and Gaza,,"25,371.59"
Tropical,Vietnam,Vietnam,,635.76
Tropical,Venezuela,Venezuela,,"35,652.83"
Tropical,Vanuatu,Vanuatu,,0.15
Temperate,Uzbekistan,Uzbekistan,,"28,069.10"
Subtropics,US,US,,"5,002,292.48"
Subtropics,Uruguay,Uruguay,,"2,208.85"
Tropical,United Kingdom,United Kingdom,Turks and Caicos Islands,289.13
Tropical,United Kingdom,United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",0.84
Tropical,United Kingdom,United Kingdom,Montserrat,9.7
Tropical,United Kingdom,United Kingdom,Cayman Islands,154.99
Tropical,United Kingdom,United Kingdom,British Virgin Islands,29.27
Tropical,United Kingdom,United Kingdom,Anguilla,3.07
Subtropics,United Kingdom,United Kingdom,Gibraltar,347.92
Subtropics,United Kingdom,United Kingdom,Bermuda,150.34
Temperate,United Kingdom,United Kingdom,Jersey,442.85
Temperate,United Kingdom,United Kingdom,Isle of Man,266.58
Temperate,United Kingdom,United Kingdom,Guernsey,204.6
Temperate,United Kingdom,United Kingdom,Falkland Islands (Malvinas),10.9
Temperate,United Kingdom,United Kingdom,Channel Islands,0
Temperate,United Kingdom,United Kingdom,,"501,436.49"
Tropical,United Arab Emirates,United Arab Emirates,,"64,502.96"
Temperate,Ukraine,Ukraine,,"193,937.68"
Tropical,Uganda,Uganda,,"5,711.48"
Subtropics,Turkey,Turkey,,"321,103.90"
Subtropics,Tunisia,Tunisia,,"22,172.70"
Tropical,Trinidad and Tobago,Trinidad and Tobago,,"2,017.63"
Tropical,Togo,Togo,,"1,106.46"
Tropical,Timor-Leste,Timor-Leste,,20.38
Tropical,Thailand,Thailand,,"2,810.71"
Tropical,Tanzania,Tanzania,,374.61
Subtropics,Tajikistan,Tajikistan,,"5,794.12"
Subtropics,Taiwan*,Taiwan*,,420.88
Subtropics,Syria,Syria,,"2,437.56"
Temperate,Switzerland,Switzerland,,"84,034.83"
Polar,Sweden,Sweden,,"86,675.19"
Tropical,Suriname,Suriname,,"2,192.37"
Tropical,Sudan,Sudan,,"8,653.93"
Tropical,Sri Lanka,Sri Lanka,,"6,185.74"
Temperate,Spain,Spain,,"540,632.31"
Tropical,South Sudan,South Sudan,,"1,629.51"
Subtropics,South Africa,South Africa,,"355,930.86"
Tropical,Somalia,Somalia,,"2,361.24"
Tropical,Solomon Islands,Solomon Islands,,3.11
Temperate,Slovenia,Slovenia,,"16,280.40"
Temperate,Slovakia,Slovakia,,"29,200.09"
Tropical,Singapore,Singapore,,"36,227.95"
Tropical,Sierra Leone,Sierra Leone,,"1,297.34"
Tropical,Seychelles,Seychelles,,80.66
Temperate,Serbia,Serbia,,"46,102.28"
Tropical,Senegal,Senegal,,"8,126.48"
Subtropics,Saudi Arabia,Saudi Arabia,,"187,917.48"
Tropical,Sao Tome and Principe,Sao Tome and Principe,,562.58
Temperate,San Marino,San Marino,,717.36
Tropical,Samoa,Samoa,,0.23
Tropical,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,41.21
Tropical,Saint Lucia,Saint Lucia,,55.91
Tropical,Saint Kitts and Nevis,Saint Kitts and Nevis,,14.32
Tropical,Rwanda,Rwanda,,"2,422.51"
Polar,Russia,Russia,,"852,474.71"
Temperate,Romania,Romania,,"121,234.36"
Subtropics,Qatar,Qatar,,"76,859.14"
Subtropics,Portugal,Portugal,,"82,693.51"
Temperate,Poland,Poland,,"202,268.44"
Tropical,Philippines,Philippines,,"155,164.73"
Tropical,Peru,Peru,,"419,219.78"
Tropical,Paraguay,Paraguay,,"23,740.55"
Tropical,Papua New Guinea,Papua New Guinea,,245
Tropical,Panama,Panama,,"66,003.67"
Tropical,Palau,Palau,,0
Subtropics,Pakistan,Pakistan,,"193,423.54"
Tropical,Oman,Oman,,"55,228.90"
Polar,Norway,Norway,,"12,838.78"
Temperate,North Macedonia,North Macedonia,,"16,872.83"
Tropical,Nigeria,Nigeria,,"32,556.84"
Tropical,Niger,Niger,,960.41
Tropical,Nicaragua,Nicaragua,,"2,248.80"
Tropical,New Zealand,New Zealand,Cook Islands,0
Temperate,New Zealand,New Zealand,,"1,366.38"
Tropical,Netherlands,Netherlands,Sint Maarten,365.7
Tropical,Netherlands,Netherlands,Curacao,546.01
Tropical,Netherlands,Netherlands,"Bonaire, Sint Eustatius and Saba",49.5
Tropical,Netherlands,Netherlands,Aruba,"1,657.50"
Temperate,Netherlands,Netherlands,,"148,575.53"
Subtropics,Nepal,Nepal,,"61,570.23"
Tropical,Namibia,Namibia,,"5,251.85"
Tropical,Mozambique,Mozambique,,"4,728.81"
Subtropics,Morocco,Morocco,,"91,969.46"
Temperate,Montenegro,Montenegro,,"8,783.70"
Temperate,Mongolia,Mongolia,,262.58
Temperate,Monaco,Monaco,,198.43
Temperate,Moldova,Moldova,,"35,606.48"
Tropical,Micronesia,Micronesia,,0
Subtropics,Mexico,Mexico,,"431,948.44"
Tropical,Mauritius,Mauritius,,304.97
Tropical,Mauritania,Mauritania,,"4,363.63"
Tropical,Marshall Islands,Marshall Islands,,0.6
Subtropics,Malta,Malta,,"2,666.84"
Tropical,Mali,Mali,,"2,145.05"
Tropical,Maldives,Maldives,,"5,156.40"
Tropical,Malaysia,Malaysia,,"18,278.72"
Tropical,Malawi,Malawi,,"2,848.06"
Tropical,Madagascar,Madagascar,,"7,900.32"
Temperate,Luxembourg,Luxembourg,,"9,938.71"
Temperate,Lithuania,Lithuania,,"14,066.95"
Temperate,Liechtenstein,Liechtenstein,,315.32
Subtropics,Libya,Libya,,"22,052.59"
Tropical,Liberia,Liberia,,797.71
Subtropics,Lesotho,Lesotho,,784.97
Subtropics,Lebanon,Lebanon,,"32,056.43"
Temperate,Latvia,Latvia,,"4,401.63"
Tropical,Laos,Laos,,18.77
Temperate,Kyrgyzstan,Kyrgyzstan,,"27,181.24"
Subtropics,Kuwait,Kuwait,,"60,405.63"
Temperate,Kosovo,Kosovo,,"11,330.55"
Subtropics,"Korea, South","Korea, South",,"17,436.58"
Tropical,Kiribati,Kiribati,,0
Tropical,Kenya,Kenya,,"25,755.06"
Temperate,Kazakhstan,Kazakhstan,,"74,520.33"
Subtropics,Jordan,Jordan,,"40,843.25"
Subtropics,Japan,Japan,,"53,527.46"
Tropical,Jamaica,Jamaica,,"3,333.51"
Temperate,Italy,Italy,,"438,552.92"
Subtropics,Israel,Israel,,"120,356.37"
Temperate,Ireland,Ireland,,"30,332.72"
Subtropics,Iraq,Iraq,,"187,300.81"
Subtropics,Iran,Iran,,"341,755.97"
Tropical,Indonesia,Indonesia,,"175,576.01"
Tropical,India,India,,"3,142,841.27"
Polar,Iceland,Iceland,,"2,341.62"
Temperate,Hungary,Hungary,,"45,104.69"
Tropical,Honduras,Honduras,,"41,774.16"
Tropical,Haiti,Haiti,,"4,915.92"
Tropical,Guyana,Guyana,,"1,590.46"
Tropical,Guinea-Bissau,Guinea-Bissau,,"1,411.54"
Tropical,Guinea,Guinea,,"6,216.02"
Tropical,Guatemala,Guatemala,,"47,852.41"
Tropical,Grenada,Grenada,,24.08
Subtropics,Greece,Greece,,"23,119.11"
Tropical,Ghana,Ghana,,"25,130.31"
Temperate,Germany,Germany,,"332,167.99"
Temperate,Georgia,Georgia,,"26,877.15"
Tropical,Gambia,Gambia,,"1,466.60"
Tropical,Gabon,Gabon,,"4,958.58"
Tropical,France,France,Wallis and Futuna,0.5
Tropical,France,France,St Martin,228.85
Tropical,France,France,Saint Barthelemy,36.88
Tropical,France,France,Reunion,"2,322.91"
Tropical,France,France,New Caledonia,19.95
Tropical,France,France,Mayotte,"2,456.12"
Tropical,France,France,Martinique,"1,319.14"
Tropical,France,France,Guadeloupe,"2,458.11"
Tropical,France,France,French Polynesia,"2,964.05"
