Climate,Country Region,Country/Region,Province/State,Avg. Confirmed Cases
Tropical,Zimbabwe,Zimbabwe,,3873.28
Tropical,Zambia,Zambia,,7054.73
Tropical,Yemen,Yemen,,1108.13
Subtropics,West Bank and Gaza,West Bank and Gaza,,25371.59
Tropical,Vietnam,Vietnam,,635.76
Tropical,Venezuela,Venezuela,,35652.83
Tropical,Vanuatu,Vanuatu,,0.15
Temperate,Uzbekistan,Uzbekistan,,28069.10
Subtropics,US,US,,5002292.48
Subtropics,Uruguay,Uruguay,,2208.85
Tropical,United Kingdom,United Kingdom,Turks and Caicos Islands,289.13
Tropical,United Kingdom,United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",0.84
Tropical,United Kingdom,United Kingdom,Montserrat,9.70
Tropical,United Kingdom,United Kingdom,Cayman Islands,154.99
Tropical,United Kingdom,United Kingdom,British Virgin Islands,29.27
Tropical,United Kingdom,United Kingdom,Anguilla,3.07
Subtropics,United Kingdom,United Kingdom,Gibraltar,347.92
Subtropics,United Kingdom,United Kingdom,Bermuda,150.34
Temperate,United Kingdom,United Kingdom,Jersey,442.85
Temperate,United Kingdom,United Kingdom,Isle of Man,266.58
Temperate,United Kingdom,United Kingdom,Guernsey,204.60
Temperate,United Kingdom,United Kingdom,Falkland Islands (Malvinas),10.90
Temperate,United Kingdom,United Kingdom,Channel Islands,0.00
Temperate,United Kingdom,United Kingdom,,501436.49
Tropical,United Arab Emirates,United Arab Emirates,,64502.96
Temperate,Ukraine,Ukraine,,193937.68
Tropical,Uganda,Uganda,,5711.48
Subtropics,Turkey,Turkey,,321103.90
Subtropics,Tunisia,Tunisia,,22172.70
Tropical,Trinidad and Tobago,Trinidad and Tobago,,2017.63
Tropical,Togo,Togo,,1106.46
Tropical,Timor-Leste,Timor-Leste,,20.38
Tropical,Thailand,Thailand,,2810.71
Tropical,Tanzania,Tanzania,,374.61
Subtropics,Tajikistan,Tajikistan,,5794.12
Subtropics,Taiwan*,Taiwan*,,420.88
Subtropics,Syria,Syria,,2437.56
Temperate,Switzerland,Switzerland,,84034.83
Polar,Sweden,Sweden,,86675.19
Tropical,Suriname,Suriname,,2192.37
Tropical,Sudan,Sudan,,8653.93
Tropical,Sri Lanka,Sri Lanka,,6185.74
Temperate,Spain,Spain,,540632.31
Tropical,South Sudan,South Sudan,,1629.51
Subtropics,South Africa,South Africa,,355930.86
Tropical,Somalia,Somalia,,2361.24
Tropical,Solomon Islands,Solomon Islands,,3.11
Temperate,Slovenia,Slovenia,,16280.40
Temperate,Slovakia,Slovakia,,29200.09
Tropical,Singapore,Singapore,,36227.95
Tropical,Sierra Leone,Sierra Leone,,1297.34
Tropical,Seychelles,Seychelles,,80.66
Temperate,Serbia,Serbia,,46102.28
Tropical,Senegal,Senegal,,8126.48
Subtropics,Saudi Arabia,Saudi Arabia,,187917.48
Tropical,Sao Tome and Principe,Sao Tome and Principe,,562.58
Temperate,San Marino,San Marino,,717.36
Tropical,Samoa,Samoa,,0.23
Tropical,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,41.21
Tropical,Saint Lucia,Saint Lucia,,55.91
Tropical,Saint Kitts and Nevis,Saint Kitts and Nevis,,14.32
Tropical,Rwanda,Rwanda,,2422.51
Polar,Russia,Russia,,852474.71
Temperate,Romania,Romania,,121234.36
Subtropics,Qatar,Qatar,,76859.14
Subtropics,Portugal,Portugal,,82693.51
Temperate,Poland,Poland,,202268.44
Tropical,Philippines,Philippines,,155164.73
Tropical,Peru,Peru,,419219.78
Tropical,Paraguay,Paraguay,,23740.55
Tropical,Papua New Guinea,Papua New Guinea,,245.00
Tropical,Panama,Panama,,66003.67
Tropical,Palau,Palau,,0.00
Subtropics,Pakistan,Pakistan,,193423.54
Tropical,Oman,Oman,,55228.90
Polar,Norway,Norway,,12838.78
Temperate,North Macedonia,North Macedonia,,16872.83
Tropical,Nigeria,Nigeria,,32556.84
Tropical,Niger,Niger,,960.41
Tropical,Nicaragua,Nicaragua,,2248.80
Tropical,New Zealand,New Zealand,Cook Islands,0.00
Temperate,New Zealand,New Zealand,,1366.38
Tropical,Netherlands,Netherlands,Sint Maarten,365.70
Tropical,Netherlands,Netherlands,Curacao,546.01
Tropical,Netherlands,Netherlands,"Bonaire, Sint Eustatius and Saba",49.50
Tropical,Netherlands,Netherlands,Aruba,1657.50
Temperate,Netherlands,Netherlands,,148575.53
Subtropics,Nepal,Nepal,,61570.23
Tropical,Namibia,Namibia,,5251.85
Tropical,Mozambique,Mozambique,,4728.81
Subtropics,Morocco,Morocco,,91969.46
Temperate,Montenegro,Montenegro,,8783.70
Temperate,Mongolia,Mongolia,,262.58
Temperate,Monaco,Monaco,,198.43
Temperate,Moldova,Moldova,,35606.48
Tropical,Micronesia,Micronesia,,0.00
Subtropics,Mexico,Mexico,,431948.44
Tropical,Mauritius,Mauritius,,304.97
Tropical,Mauritania,Mauritania,,4363.63
Tropical,Marshall Islands,Marshall Islands,,0.60
Subtropics,Malta,Malta,,2666.84
Tropical,Mali,Mali,,2145.05
Tropical,Maldives,Maldives,,5156.40
Tropical,Malaysia,Malaysia,,18278.72
Tropical,Malawi,Malawi,,2848.06
Tropical,Madagascar,Madagascar,,7900.32
Temperate,Luxembourg,Luxembourg,,9938.71
Temperate,Lithuania,Lithuania,,14066.95
Temperate,Liechtenstein,Liechtenstein,,315.32
Subtropics,Libya,Libya,,22052.59
Tropical,Liberia,Liberia,,797.71
Subtropics,Lesotho,Lesotho,,784.97
Subtropics,Lebanon,Lebanon,,32056.43
Temperate,Latvia,Latvia,,4401.63
Tropical,Laos,Laos,,18.77
Temperate,Kyrgyzstan,Kyrgyzstan,,27181.24
Subtropics,Kuwait,Kuwait,,60405.63
Temperate,Kosovo,Kosovo,,11330.55
Subtropics,"Korea, South","Korea, South",,17436.58
Tropical,Kiribati,Kiribati,,0.00
Tropical,Kenya,Kenya,,25755.06
Temperate,Kazakhstan,Kazakhstan,,74520.33
Subtropics,Jordan,Jordan,,40843.25
Subtropics,Japan,Japan,,53527.46
Tropical,Jamaica,Jamaica,,3333.51
Temperate,Italy,Italy,,438552.92
Subtropics,Israel,Israel,,120356.37
Temperate,Ireland,Ireland,,30332.72
Subtropics,Iraq,Iraq,,187300.81
Subtropics,Iran,Iran,,341755.97
Tropical,Indonesia,Indonesia,,175576.01
Tropical,India,India,,3142841.27
Polar,Iceland,Iceland,,2341.62
Temperate,Hungary,Hungary,,45104.69
Tropical,Honduras,Honduras,,41774.16
Tropical,Haiti,Haiti,,4915.92
Tropical,Guyana,Guyana,,1590.46
Tropical,Guinea-Bissau,Guinea-Bissau,,1411.54
Tropical,Guinea,Guinea,,6216.02
Tropical,Guatemala,Guatemala,,47852.41
Tropical,Grenada,Grenada,,24.08
Subtropics,Greece,Greece,,23119.11
Tropical,Ghana,Ghana,,25130.31
Temperate,Germany,Germany,,332167.99
Temperate,Georgia,Georgia,,26877.15
Tropical,Gambia,Gambia,,1466.60
Tropical,Gabon,Gabon,,4958.58
Tropical,France,France,Wallis and Futuna,0.50
Tropical,France,France,St Martin,228.85
Tropical,France,France,Saint Barthelemy,36.88
Tropical,France,France,Reunion,2322.91
Tropical,France,France,New Caledonia,19.95
Tropical,France,France,Mayotte,2456.12
Tropical,France,France,Martinique,1319.14
Tropical,France,France,Guadeloupe,2458.11
Tropical,France,France,French Polynesia,2964.05
Tropical,France,France,French Guiana,5293.59
Temperate,France,France,Saint Pierre and Miquelon,6.00
Temperate,France,France,,588592.30
Polar,Finland,Finland,,9558.02
Tropical,Fiji,Fiji,,22.17
Tropical,Ethiopia,Ethiopia,,37196.18
Subtropics,Eswatini,Eswatini,,2700.65
Temperate,Estonia,Estonia,,3935.87
Tropical,Equatorial Guinea,Equatorial Guinea,,2724.42
Tropical,El Salvador,El Salvador,,15686.79
Subtropics,Egypt,Egypt,,60897.04
Tropical,Ecuador,Ecuador,,81871.28
Tropical,Dominican Republic,Dominican Republic,,61352.83
Tropical,Dominica,Dominica,,26.71
