Climate,Country Region,Country/Region,Province/State,Avg. Confirmed Cases,Avg. People fully vaccinated
Tropical,Zimbabwe,Zimbabwe,,"82,371.06",2040517.0
Tropical,Zambia,Zambia,,"144,090.49",1019364.6
Tropical,Yemen,Yemen,,"6,586.16",367734.6
Subtropics,West Bank and Gaza,West Bank and Gaza,,"317,738.88",
Tropical,Vietnam,Vietnam,,"371,340.57",34008734.7
Tropical,Venezuela,Venezuela,,"272,695.67",7122835.2
Tropical,Vanuatu,Vanuatu,,3.75,75991.6
Temperate,Uzbekistan,Uzbekistan,,"127,054.99",6966080.1
Subtropics,US,US,,"36,335,889.19",149881021.8
Subtropics,Uruguay,Uruguay,,"271,031.96",2090129.4
Tropical,United Kingdom,United Kingdom,,"2,445.87",33885334.2
Tropical,United Kingdom,United Kingdom,,4,33885334.2
Tropical,United Kingdom,United Kingdom,,26.17,33885334.2
Tropical,United Kingdom,United Kingdom,,"1,546.83",33885334.2
Tropical,United Kingdom,United Kingdom,,"1,354.40",33885334.2
Tropical,United Kingdom,United Kingdom,,359.47,33885334.2
Subtropics,United Kingdom,United Kingdom,,"5,020.69",33885334.2
Subtropics,United Kingdom,United Kingdom,,"2,966.63",33885334.2
Temperate,United Kingdom,United Kingdom,,"6,883.44",33885334.2
Temperate,United Kingdom,United Kingdom,,"4,542.26",33885334.2
Temperate,United Kingdom,United Kingdom,,"1,507.76",33885334.2
Temperate,United Kingdom,United Kingdom,,62.38,33885334.2
Temperate,United Kingdom,United Kingdom,,0,33885334.2
Temperate,United Kingdom,United Kingdom,,"6,125,060.56",33885334.2
Tropical,United Arab Emirates,United Arab Emirates,,"583,582.65",6525937.3
Temperate,Ukraine,Ukraine,,"2,297,325.24",5674092.0
Tropical,Uganda,Uganda,,"80,553.39",2547162.1
Subtropics,Turkey,Turkey,,"5,518,689.36",33163418.8
Subtropics,Tunisia,Tunisia,,"469,212.06",3598854.2
Tropical,Trinidad and Tobago,Trinidad and Tobago,,"33,785.68",412371.0
Tropical,Togo,Togo,,"16,199.58",650649.5
Tropical,Timor-Leste,Timor-Leste,,"9,696.30",
Tropical,Thailand,Thailand,,"765,325.68",25572416.2
Tropical,Tanzania,Tanzania,,"7,684.47",2151932.1
Subtropics,Tajikistan,Tajikistan,,"15,280.59",3742411.5
Subtropics,Taiwan*,Taiwan*,,"9,779.60",8937005.4
Subtropics,Syria,Syria,,"27,715.03",612099.0
Temperate,Switzerland,Switzerland,,"737,610.55",4019043.6
Polar,Sweden,Sweden,,"985,922.83",4640928.9
Tropical,Suriname,Suriname,,"25,051.93",141906.6
Tropical,Sudan,Sudan,,"35,922.86",1185099.2
Tropical,Sri Lanka,Sri Lanka,,"291,676.55",8124856.3
Temperate,Spain,Spain,,"4,055,583.49",25506905.4
Tropical,South Sudan,South Sudan,,"10,259.58",193440.3
Subtropics,South Africa,South Africa,,"2,179,419.33",9375104.8
Tropical,Somalia,Somalia,,"14,991.57",966643.8
Tropical,Solomon Islands,Solomon Islands,,19.4,53161.4
Temperate,Slovenia,Slovenia,,"267,094.85",777631.9
Temperate,Slovakia,Slovakia,,"777,481.50",1753806.9
Tropical,Singapore,Singapore,,"102,673.32",3397202.6
Tropical,Sierra Leone,Sierra Leone,,"5,144.78",406726.8
Tropical,Seychelles,Seychelles,,"13,353.16",63323.1
Temperate,Serbia,Serbia,,"771,180.87",2405518.2
Tropical,Senegal,Senegal,,"52,560.14",604645.8
Subtropics,Saudi Arabia,Saudi Arabia,,"472,708.75",13253064.4
Tropical,Sao Tome and Principe,Sao Tome and Principe,,"2,562.35",40756.0
Temperate,San Marino,San Marino,,"4,945.35",19878.7
Tropical,Samoa,Samoa,,2.88,130418.4
Tropical,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,"2,683.25",16548.9
Tropical,Saint Lucia,Saint Lucia,,"6,838.70",32542.8
Tropical,Saint Kitts and Nevis,Saint Kitts and Nevis,,945.56,18655.9
Tropical,Rwanda,Rwanda,,"55,166.77",3205709.4
Polar,Russia,Russia,,"6,081,051.68",37418954.4
Temperate,Romania,Romania,,"1,150,720.82",5031264.7
Subtropics,Qatar,Qatar,,"210,061.52",1557947.7
Subtropics,Portugal,Portugal,,"924,285.56",5767644.8
Temperate,Poland,Poland,,"2,678,942.05",14454815.5
Tropical,Philippines,Philippines,,"1,586,806.45",31190552.9
Tropical,Peru,Peru,,"1,865,765.16",12873278.8
Tropical,Paraguay,Paraguay,,"347,214.67",1802360.8
Tropical,Papua New Guinea,Papua New Guinea,,"16,046.16",129086.5
Tropical,Panama,Panama,,"404,800.98",1612304.5
Tropical,Palau,Palau,,2.28,
Subtropics,Pakistan,Pakistan,,"953,302.55",45755863.1
Tropical,Oman,Oman,,"237,523.10",1547868.7
Polar,Norway,Norway,,"149,371.20",2454643.0
Temperate,North Macedonia,North Macedonia,,"157,558.65",528769.5
Tropical,Nigeria,Nigeria,,"176,147.45",4510380.5
Tropical,Niger,Niger,,"5,571.77",1050050.8
Tropical,Nicaragua,Nicaragua,,"8,070.98",1765484.9
Tropical,New Zealand,New Zealand,,0.7,2233466.4
Temperate,New Zealand,New Zealand,,"4,376.39",2233466.4
Tropical,Netherlands,Netherlands,,"3,037.82",8352705.7
Tropical,Netherlands,Netherlands,,"12,228.12",8352705.7
Tropical,Netherlands,Netherlands,,"1,474.07",8352705.7
Tropical,Netherlands,Netherlands,,"11,948.76",8352705.7
Temperate,Netherlands,Netherlands,,"1,738,987.24",8352705.7
Subtropics,Nepal,Nepal,,"567,827.45",6509328.4
Tropical,Namibia,Namibia,,"85,839.14",211529.2
Tropical,Mozambique,Mozambique,,"100,404.76",5386131.3
Subtropics,Morocco,Morocco,,"670,908.75",15029435.1
Temperate,Montenegro,Montenegro,,"107,293.68",186573.6
Temperate,Mongolia,Mongolia,,"217,007.14",1697252.9
Temperate,Monaco,Monaco,,"2,733.66",17982.1
Temperate,Moldova,Moldova,,"260,923.17",666326.0
Tropical,Micronesia,Micronesia,,0.95,
Subtropics,Mexico,Mexico,,"2,817,085.91",41284494.2
Tropical,Mauritius,Mauritius,,"12,821.01",641136.9
Tropical,Mauritania,Mauritania,,"25,916.30",555651.7
Tropical,Marshall Islands,Marshall Islands,,4,
Subtropics,Malta,Malta,,"31,370.77",328761.2
Tropical,Mali,Mali,,"13,495.57",421035.9
Tropical,Maldives,Maldives,,"59,010.03",264954.0
Tropical,Malaysia,Malaysia,,"1,194,052.05",15981207.9
Tropical,Malawi,Malawi,,"44,179.63",489808.1
Tropical,Madagascar,Madagascar,,"36,257.50",831300.6
Temperate,Luxembourg,Luxembourg,,"70,826.15",279551.4
Temperate,Lithuania,Lithuania,,"294,658.08",1200116.7
Temperate,Liechtenstein,Liechtenstein,,"3,331.33",16735.8
Subtropics,Libya,Libya,,"237,890.17",948299.3
Tropical,Liberia,Liberia,,"3,912.34",963431.1
Subtropics,Lesotho,Lesotho,,"14,008.19",658881.2
Subtropics,Lebanon,Lebanon,,"527,852.01",1153121.9
Temperate,Latvia,Latvia,,"143,463.52",744462.7
Tropical,Laos,Laos,,"18,362.87",2488856.9
Temperate,Kyrgyzstan,Kyrgyzstan,,"133,746.21",691828.0
Subtropics,Kuwait,Kuwait,,"322,836.26",1467372.6
Temperate,Kosovo,Kosovo,,"115,134.54",514706.4
Subtropics,"Korea, South","Korea, South",,"220,037.51",
Tropical,Kiribati,Kiribati,,1.24,41140.4
Tropical,Kenya,Kenya,,"187,206.78",3312216.8
Temperate,Kazakhstan,Kazakhstan,,"609,511.77",5371021.8
Subtropics,Jordan,Jordan,,"704,189.29",2560972.9
Subtropics,Japan,Japan,,"1,004,664.90",61046831.3
Tropical,Jamaica,Jamaica,,"55,337.74",373911.8
Temperate,Italy,Italy,,"4,082,364.87",29381079.0
Subtropics,Israel,Israel,,"968,291.23",5003506.5
Temperate,Ireland,Ireland,,"327,252.62",2495964.9
Subtropics,Iraq,Iraq,,"1,404,706.45",3485298.4
Subtropics,Iran,Iran,,"3,668,379.22",26927803.0
Tropical,Indonesia,Indonesia,,"2,706,357.90",55757394.1
Tropical,India,India,,"25,246,782.36",352567418.3
Polar,Iceland,Iceland,,"9,564.86",197279.5
