﻿Climate,Country Region,Country/Region,Province/State,Avg. Confirmed Cases,Avg. People fully vaccinated
Tropical,Zimbabwe,Zimbabwe,,"82,371.06","2,040,517.00"
Tropical,Zambia,Zambia,,"144,090.49","1,019,364.60"
Tropical,Yemen,Yemen,,"6,586.16","367,734.55"
Subtropics,West Bank and Gaza,West Bank and Gaza,,"317,738.88",
Tropical,Vietnam,Vietnam,,"371,340.57","34,008,734.74"
Tropical,Venezuela,Venezuela,,"272,695.67","7,122,835.24"
Tropical,Vanuatu,Vanuatu,,3.75,"75,991.58"
Temperate,Uzbekistan,Uzbekistan,,"127,054.99","6,966,080.14"
Subtropics,US,US,,"36,335,889.19","149,881,021.83"
Subtropics,Uruguay,Uruguay,,"271,031.96","2,090,129.43"
Tropical,United Kingdom,United Kingdom,,"2,445.87","33,885,334.15"
Tropical,United Kingdom,United Kingdom,,4,"33,885,334.15"
Tropical,United Kingdom,United Kingdom,,26.17,"33,885,334.15"
Tropical,United Kingdom,United Kingdom,,"1,546.83","33,885,334.15"
Tropical,United Kingdom,United Kingdom,,"1,354.40","33,885,334.15"
Tropical,United Kingdom,United Kingdom,,359.47,"33,885,334.15"
Subtropics,United Kingdom,United Kingdom,,"5,020.69","33,885,334.15"
Subtropics,United Kingdom,United Kingdom,,"2,966.63","33,885,334.15"
Temperate,United Kingdom,United Kingdom,,"6,883.44","33,885,334.15"
Temperate,United Kingdom,United Kingdom,,"4,542.26","33,885,334.15"
Temperate,United Kingdom,United Kingdom,,"1,507.76","33,885,334.15"
Temperate,United Kingdom,United Kingdom,,62.38,"33,885,334.15"
Temperate,United Kingdom,United Kingdom,,0,"33,885,334.15"
Temperate,United Kingdom,United Kingdom,,"6,125,060.56","33,885,334.15"
Tropical,United Arab Emirates,United Arab Emirates,,"583,582.65","6,525,937.34"
Temperate,Ukraine,Ukraine,,"2,297,325.24","5,674,091.96"
Tropical,Uganda,Uganda,,"80,553.39","2,547,162.12"
Subtropics,Turkey,Turkey,,"5,518,689.36","33,163,418.83"
Subtropics,Tunisia,Tunisia,,"469,212.06","3,598,854.18"
Tropical,Trinidad and Tobago,Trinidad and Tobago,,"33,785.68","412,371.03"
Tropical,Togo,Togo,,"16,199.58","650,649.49"
Tropical,Timor-Leste,Timor-Leste,,"9,696.30",
Tropical,Thailand,Thailand,,"765,325.68","25,572,416.18"
Tropical,Tanzania,Tanzania,,"7,684.47","2,151,932.12"
Subtropics,Tajikistan,Tajikistan,,"15,280.59","3,742,411.50"
Subtropics,Taiwan*,Taiwan*,,"9,779.60","8,937,005.42"
Subtropics,Syria,Syria,,"27,715.03","612,099.00"
Temperate,Switzerland,Switzerland,,"737,610.55","4,019,043.62"
Polar,Sweden,Sweden,,"985,922.83","4,640,928.86"
Tropical,Suriname,Suriname,,"25,051.93","141,906.62"
Tropical,Sudan,Sudan,,"35,922.86","1,185,099.15"
Tropical,Sri Lanka,Sri Lanka,,"291,676.55","8,124,856.26"
Temperate,Spain,Spain,,"4,055,583.49","25,506,905.38"
Tropical,South Sudan,South Sudan,,"10,259.58","193,440.27"
Subtropics,South Africa,South Africa,,"2,179,419.33","9,375,104.79"
Tropical,Somalia,Somalia,,"14,991.57","966,643.80"
Tropical,Solomon Islands,Solomon Islands,,19.4,"53,161.40"
Temperate,Slovenia,Slovenia,,"267,094.85","777,631.89"
Temperate,Slovakia,Slovakia,,"777,481.50","1,753,806.88"
Tropical,Singapore,Singapore,,"102,673.32","3,397,202.55"
Tropical,Sierra Leone,Sierra Leone,,"5,144.78","406,726.78"
Tropical,Seychelles,Seychelles,,"13,353.16","63,323.14"
Temperate,Serbia,Serbia,,"771,180.87","2,405,518.19"
Tropical,Senegal,Senegal,,"52,560.14","604,645.78"
Subtropics,Saudi Arabia,Saudi Arabia,,"472,708.75","13,253,064.44"
Tropical,Sao Tome and Principe,Sao Tome and Principe,,"2,562.35","40,756.02"
Temperate,San Marino,San Marino,,"4,945.35","19,878.73"
Tropical,Samoa,Samoa,,2.88,"130,418.39"
Tropical,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,"2,683.25","16,548.87"
Tropical,Saint Lucia,Saint Lucia,,"6,838.70","32,542.84"
Tropical,Saint Kitts and Nevis,Saint Kitts and Nevis,,945.56,"18,655.92"
Tropical,Rwanda,Rwanda,,"55,166.77","3,205,709.44"
Polar,Russia,Russia,,"6,081,051.68","37,418,954.35"
Temperate,Romania,Romania,,"1,150,720.82","5,031,264.65"
Subtropics,Qatar,Qatar,,"210,061.52","1,557,947.65"
Subtropics,Portugal,Portugal,,"924,285.56","5,767,644.75"
Temperate,Poland,Poland,,"2,678,942.05","14,454,815.49"
Tropical,Philippines,Philippines,,"1,586,806.45","31,190,552.92"
Tropical,Peru,Peru,,"1,865,765.16","12,873,278.84"
Tropical,Paraguay,Paraguay,,"347,214.67","1,802,360.77"
Tropical,Papua New Guinea,Papua New Guinea,,"16,046.16","129,086.52"
Tropical,Panama,Panama,,"404,800.98","1,612,304.50"
Tropical,Palau,Palau,,2.28,
Subtropics,Pakistan,Pakistan,,"953,302.55","45,755,863.10"
Tropical,Oman,Oman,,"237,523.10","1,547,868.68"
Polar,Norway,Norway,,"149,371.20","2,454,642.99"
Temperate,North Macedonia,North Macedonia,,"157,558.65","528,769.48"
Tropical,Nigeria,Nigeria,,"176,147.45","4,510,380.54"
Tropical,Niger,Niger,,"5,571.77","1,050,050.79"
Tropical,Nicaragua,Nicaragua,,"8,070.98","1,765,484.88"
Tropical,New Zealand,New Zealand,,0.7,"2,233,466.36"
Temperate,New Zealand,New Zealand,,"4,376.39","2,233,466.36"
Tropical,Netherlands,Netherlands,,"3,037.82","8,352,705.70"
Tropical,Netherlands,Netherlands,,"12,228.12","8,352,705.70"
Tropical,Netherlands,Netherlands,,"1,474.07","8,352,705.70"
Tropical,Netherlands,Netherlands,,"11,948.76","8,352,705.70"
Temperate,Netherlands,Netherlands,,"1,738,987.24","8,352,705.70"
Subtropics,Nepal,Nepal,,"567,827.45","6,509,328.36"
Tropical,Namibia,Namibia,,"85,839.14","211,529.21"
Tropical,Mozambique,Mozambique,,"100,404.76","5,386,131.26"
Subtropics,Morocco,Morocco,,"670,908.75","15,029,435.12"
Temperate,Montenegro,Montenegro,,"107,293.68","186,573.55"
Temperate,Mongolia,Mongolia,,"217,007.14","1,697,252.87"
Temperate,Monaco,Monaco,,"2,733.66","17,982.08"
Temperate,Moldova,Moldova,,"260,923.17","666,326.01"
Tropical,Micronesia,Micronesia,,0.95,
Subtropics,Mexico,Mexico,,"2,817,085.91","41,284,494.17"
Tropical,Mauritius,Mauritius,,"12,821.01","641,136.89"
Tropical,Mauritania,Mauritania,,"25,916.30","555,651.65"
Tropical,Marshall Islands,Marshall Islands,,4,
Subtropics,Malta,Malta,,"31,370.77","328,761.22"
Tropical,Mali,Mali,,"13,495.57","421,035.87"
Tropical,Maldives,Maldives,,"59,010.03","264,953.99"
Tropical,Malaysia,Malaysia,,"1,194,052.05","15,981,207.91"
Tropical,Malawi,Malawi,,"44,179.63","489,808.10"
Tropical,Madagascar,Madagascar,,"36,257.50","831,300.64"
Temperate,Luxembourg,Luxembourg,,"70,826.15","279,551.42"
Temperate,Lithuania,Lithuania,,"294,658.08","1,200,116.68"
Temperate,Liechtenstein,Liechtenstein,,"3,331.33","16,735.75"
Subtropics,Libya,Libya,,"237,890.17","948,299.25"
Tropical,Liberia,Liberia,,"3,912.34","963,431.08"
Subtropics,Lesotho,Lesotho,,"14,008.19","658,881.16"
Subtropics,Lebanon,Lebanon,,"527,852.01","1,153,121.90"
Temperate,Latvia,Latvia,,"143,463.52","744,462.66"
Tropical,Laos,Laos,,"18,362.87","2,488,856.89"
Temperate,Kyrgyzstan,Kyrgyzstan,,"133,746.21","691,828.02"
Subtropics,Kuwait,Kuwait,,"322,836.26","1,467,372.58"
Temperate,Kosovo,Kosovo,,"115,134.54","514,706.41"
Subtropics,"Korea, South","Korea, South",,"220,037.51",
Tropical,Kiribati,Kiribati,,1.24,"41,140.37"
Tropical,Kenya,Kenya,,"187,206.78","3,312,216.84"
Temperate,Kazakhstan,Kazakhstan,,"609,511.77","5,371,021.79"
Subtropics,Jordan,Jordan,,"704,189.29","2,560,972.85"
Subtropics,Japan,Japan,,"1,004,664.90","61,046,831.27"
Tropical,Jamaica,Jamaica,,"55,337.74","373,911.82"
Temperate,Italy,Italy,,"4,082,364.87","29,381,078.97"
Subtropics,Israel,Israel,,"968,291.23","5,003,506.47"
Temperate,Ireland,Ireland,,"327,252.62","2,495,964.86"
Subtropics,Iraq,Iraq,,"1,404,706.45","3,485,298.37"
Subtropics,Iran,Iran,,"3,668,379.22","26,927,802.95"
Tropical,Indonesia,Indonesia,,"2,706,357.90","55,757,394.05"
Tropical,India,India,,"25,246,782.36","352,567,418.32"
Polar,Iceland,Iceland,,"9,564.86","197,279.49"
Temperate,Hungary,Hungary,,"756,717.81","4,331,302.37"
Tropical,Honduras,Honduras,,"269,768.95","2,643,657.52"
Tropical,Haiti,Haiti,,"17,774.05","92,260.41"
Tropical,Guyana,Guyana,,"21,192.78","202,079.87"
Tropical,Guinea-Bissau,Guinea-Bissau,,"4,535.23","195,292.23"
Tropical,Guinea,Guinea,,"24,167.16","1,036,784.28"
Tropical,Guatemala,Guatemala,,"360,475.45","2,876,219.30"
Tropical,Grenada,Grenada,,"1,827.68","22,810.22"
Subtropics,Greece,Greece,,"488,135.17","4,662,813.75"
Tropical,Ghana,Ghana,,"102,578.30","1,981,503.36"
Temperate,Germany,Germany,,"3,769,402.22","39,263,997.85"
Temperate,Georgia,Georgia,,"465,390.59","714,666.72"
Tropical,Gambia,Gambia,,"7,235.01","174,786.49"
Tropical,Gabon,Gabon,,"24,755.19","125,412.89"
Tropical,France,France,,359.15,"31,806,579.64"
Tropical,France,France,,"2,574.29","31,806,579.64"
Tropical,France,France,,"1,134.74","31,806,579.64"
Tropical,France,France,,"34,410.09","31,806,579.64"
Tropical,France,France,,"3,143.68","31,806,579.64"
Tropical,France,France,,"18,302.75","31,806,579.64"
Tropical,France,France,,"22,488.99","31,806,579.64"
Tropical,France,France,,"28,171.06","31,806,579.64"
Tropical,France,France,,"28,197.24","31,806,579.64"
Tropical,France,France,,"28,947.55","31,806,579.64"
Temperate,France,France,,32.89,"31,806,579.64"
Temperate,France,France,,"5,705,625.99","31,806,579.64"
Polar,Finland,Finland,,"110,763.74","2,467,574.38"
Tropical,Fiji,Fiji,,"22,174.24","397,890.22"
Tropical,Ethiopia,Ethiopia,,"270,773.09","5,284,515.75"
Subtropics,Eswatini,Eswatini,,"29,564.79","199,436.54"
Temperate,Estonia,Estonia,,"132,397.70","514,281.70"
Tropical,Equatorial Guinea,Equatorial Guinea,,"9,212.07","154,193.80"
Tropical,El Salvador,El Salvador,,"84,019.55","2,699,292.73"
Subtropics,Egypt,Egypt,,"263,475.99","13,174,515.67"
Tropical,Ecuador,Ecuador,,"422,161.69","7,430,362.79"
Tropical,Dominican Republic,Dominican Republic,,"311,356.92","4,042,065.84"
Tropical,Dominica,Dominica,,"1,717.25","20,566.98"
Tropical,Djibouti,Djibouti,,"10,621.11","83,979.80"
Temperate,Denmark,Denmark,,"318,236.94","3,030,200.76"
Polar,Denmark,Denmark,,393.28,"3,030,200.76"
Polar,Denmark,Denmark,,"1,339.94","3,030,200.76"
Temperate,Czechia,Czechia,,"1,612,381.49","4,327,127.50"
Subtropics,Cyprus,Cyprus,,"85,085.71","416,495.95"
Tropical,Cuba,Cuba,,"412,396.48","9,571,969.60"
Temperate,Croatia,Croatia,,"374,084.22","1,347,878.79"
Tropical,Cote d'Ivoire,Cote d'Ivoire,,"48,407.52","1,638,394.71"
Tropical,Costa Rica,Costa Rica,,"372,434.68","1,977,716.27"
Tropical,Congo (Kinshasa),Congo (Kinshasa),,"41,935.23",
Tropical,Congo (Brazzaville),Congo (Brazzaville),,"12,728.68",
Tropical,Comoros,Comoros,,"3,819.64","267,260.70"
Tropical,Colombia,Colombia,,"3,797,645.35","18,804,375.18"
Tropical,China,China,,58.94,"661,586,472.43"
Tropical,China,China,,"11,698.11","661,586,472.43"
Tropical,China,China,,183.75,"661,586,472.43"
Tropical,China,China,,"2,719.55","661,586,472.43"
Subtropics,China,China,,"1,418.14","661,586,472.43"
Subtropics,China,China,,796.48,"661,586,472.43"
Subtropics,China,China,,1,"661,586,472.43"
Subtropics,China,China,,426.4,"661,586,472.43"
Subtropics,China,China,,"1,082.13","661,586,472.43"
Subtropics,China,China,,251.55,"661,586,472.43"
Subtropics,China,China,,"2,252.01","661,586,472.43"
Subtropics,China,China,,913.44,"661,586,472.43"
Subtropics,China,China,,649.02,"661,586,472.43"
Subtropics,China,China,,20.05,"661,586,472.43"
Subtropics,China,China,,84.19,"661,586,472.43"
Subtropics,China,China,,939.89,"661,586,472.43"
Subtropics,China,China,,"1,081.70","661,586,472.43"
Subtropics,China,China,,"1,104.31","661,586,472.43"
Subtropics,China,China,,"68,216.90","661,586,472.43"
Subtropics,China,China,,"1,416.85","661,586,472.43"
Subtropics,China,China,,"1,306.43","661,586,472.43"
Subtropics,China,China,,149.24,"661,586,472.43"
Subtropics,China,China,,306.37,"661,586,472.43"
Subtropics,China,China,,220.57,"661,586,472.43"
Subtropics,China,China,,827.84,"661,586,472.43"
Subtropics,China,China,,599.2,"661,586,472.43"
