﻿Climate,Country Region,Country/Region,Province/State,Avg. Confirmed Cases
Tropical,Zimbabwe,Zimbabwe,,"240,295.55"
Tropical,Zambia,Zambia,,"311,495.69"
Tropical,Yemen,Yemen,,"11,500.31"
Subtropics,West Bank and Gaza,West Bank and Gaza,,"613,436.53"
Tropical,Vietnam,Vietnam,,"6,794,339.06"
Tropical,Venezuela,Venezuela,,"506,381.61"
Tropical,Vanuatu,Vanuatu,,"3,483.05"
Temperate,Uzbekistan,Uzbekistan,,"231,317.95"
Subtropics,US,US,,"77,788,050.71"
Subtropics,Uruguay,Uruguay,,"802,247.22"
Tropical,United Kingdom,United Kingdom,Turks and Caicos Islands,"5,720.91"
Tropical,United Kingdom,United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",4
Tropical,United Kingdom,United Kingdom,Montserrat,321.4
Tropical,United Kingdom,United Kingdom,Cayman Islands,"19,308.62"
Tropical,United Kingdom,United Kingdom,British Virgin Islands,"6,025.43"
Tropical,United Kingdom,United Kingdom,Anguilla,"2,619.07"
Subtropics,United Kingdom,United Kingdom,Gibraltar,"15,606.59"
Subtropics,United Kingdom,United Kingdom,Bermuda,"12,026.67"
Temperate,United Kingdom,United Kingdom,Jersey,"40,757.00"
Temperate,United Kingdom,United Kingdom,Isle of Man,"26,486.62"
Temperate,United Kingdom,United Kingdom,Guernsey,"18,247.04"
Temperate,United Kingdom,United Kingdom,Falkland Islands (Malvinas),389.12
Temperate,United Kingdom,United Kingdom,Channel Islands,0
Temperate,United Kingdom,United Kingdom,,"19,639,400.79"
Tropical,United Arab Emirates,United Arab Emirates,,"873,831.76"
Temperate,Ukraine,Ukraine,,"4,784,164.58"
Tropical,Uganda,Uganda,,"162,292.67"
Subtropics,Turkey,Turkey,,"13,713,740.17"
Subtropics,Tunisia,Tunisia,,"977,552.12"
Tropical,Trinidad and Tobago,Trinidad and Tobago,,"132,731.62"
Tropical,Togo,Togo,,"36,525.63"
Tropical,Timor-Leste,Timor-Leste,,"22,057.80"
Tropical,Thailand,Thailand,,"3,407,270.24"
Tropical,Tanzania,Tanzania,,"33,575.91"
Subtropics,Tajikistan,Tajikistan,,"17,733.44"
Subtropics,Taiwan*,Taiwan*,,"348,482.47"
Subtropics,Syria,Syria,,"54,265.72"
Temperate,Switzerland,Switzerland,,"2,988,157.34"
Polar,Sweden,Sweden,,"2,308,040.69"
Tropical,Suriname,Suriname,,"76,061.03"
Tropical,Sudan,Sudan,,"59,656.34"
Tropical,Sri Lanka,Sri Lanka,,"643,395.14"
Temperate,Spain,Spain,,"10,889,159.21"
Tropical,South Sudan,South Sudan,,"17,085.32"
Subtropics,South Africa,South Africa,,"3,722,258.99"
Tropical,Somalia,Somalia,,"26,040.28"
Tropical,Solomon Islands,Solomon Islands,,"9,710.66"
Temperate,Slovenia,Slovenia,,"876,732.30"
Temperate,Slovakia,Slovakia,,"2,159,252.67"
Tropical,Singapore,Singapore,,"868,724.88"
Tropical,Sierra Leone,Sierra Leone,,"7,635.37"
Tropical,Seychelles,Seychelles,,"39,229.14"
Temperate,Serbia,Serbia,,"1,858,824.90"
Tropical,Senegal,Senegal,,"84,998.05"
Subtropics,Saudi Arabia,Saudi Arabia,,"723,929.18"
Tropical,Sao Tome and Principe,Sao Tome and Principe,,"5,811.63"
Temperate,San Marino,San Marino,,"14,549.54"
Tropical,Samoa,Samoa,,"4,175.37"
Tropical,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,"8,109.12"
Tropical,Saint Lucia,Saint Lucia,,"22,196.92"
Tropical,Saint Kitts and Nevis,Saint Kitts and Nevis,,"5,391.89"
Tropical,Rwanda,Rwanda,,"128,557.77"
Polar,Russia,Russia,,"15,718,123.61"
Temperate,Romania,Romania,,"2,634,882.12"
Subtropics,Qatar,Qatar,,"348,585.47"
Subtropics,Portugal,Portugal,,"3,463,492.04"
Temperate,Poland,Poland,,"5,550,340.54"
Tropical,Philippines,Philippines,,"3,579,165.39"
Tropical,Peru,Peru,,"3,364,587.88"
Tropical,Paraguay,Paraguay,,"616,382.91"
Tropical,Papua New Guinea,Papua New Guinea,,"41,257.98"
Tropical,Panama,Panama,,"741,916.80"
Tropical,Palau,Palau,,"3,411.54"
Subtropics,Pakistan,Pakistan,,"1,483,503.61"
Tropical,Oman,Oman,,"370,421.99"
Polar,Norway,Norway,,"1,177,232.11"
Temperate,North Macedonia,North Macedonia,,"291,991.60"
Tropical,Nigeria,Nigeria,,"254,181.76"
Tropical,Niger,Niger,,"8,739.21"
Tropical,Nicaragua,Nicaragua,,"14,106.94"
Tropical,New Zealand,New Zealand,Cook Islands,"2,237.68"
Temperate,New Zealand,New Zealand,,"521,963.08"
Tropical,Netherlands,Netherlands,Sint Maarten,"9,462.94"
Tropical,Netherlands,Netherlands,Curacao,"39,157.49"
Tropical,Netherlands,Netherlands,"Bonaire, Sint Eustatius and Saba","8,114.22"
Tropical,Netherlands,Netherlands,Aruba,"33,640.13"
Temperate,Netherlands,Netherlands,,"6,644,181.67"
Subtropics,Nepal,Nepal,,"957,227.63"
Tropical,Namibia,Namibia,,"158,089.12"
Tropical,Mozambique,Mozambique,,"223,181.27"
Subtropics,Morocco,Morocco,,"1,140,533.61"
Temperate,Montenegro,Montenegro,,"226,512.88"
Temperate,Mongolia,Mongolia,,"880,200.27"
Temperate,Monaco,Monaco,,"9,961.94"
Temperate,Moldova,Moldova,,"486,626.96"
Tropical,Micronesia,Micronesia,,5.22
Subtropics,Mexico,Mexico,,"5,379,136.58"
Tropical,Mauritius,Mauritius,,"171,882.11"
Tropical,Mauritania,Mauritania,,"57,565.48"
Tropical,Marshall Islands,Marshall Islands,,10.3
Subtropics,Malta,Malta,,"78,709.52"
Tropical,Mali,Mali,,"29,974.68"
Tropical,Maldives,Maldives,,"161,186.94"
Tropical,Malaysia,Malaysia,,"3,783,133.20"
Tropical,Malawi,Malawi,,"84,815.50"
Tropical,Madagascar,Madagascar,,"62,047.73"
Temperate,Luxembourg,Luxembourg,,"197,898.96"
