Country Region,Avg. Confirmed Cases,2019 [YR2019]
Afghanistan,24642.76,38041757.0
Albania,10804.48,2854191.0
Algeria,30676.45,43053054.0
Andorra,1979.19,77146.0
Angola,3893.94,31825299.0
Antigua and Barbuda,66.38,97115.0
Argentina,429960.64,44938712.0
Armenia,42182.83,2957728.0
Australia,1844.6475,25365745.0
Austria,63106.98,8879920.0
Azerbaijan,37533.43,10024283.0
Bahrain,37477.41,1641164.0
Bangladesh,199447.76,163046173.0
Barbados,131.1,287021.0
Belarus,59220.17,9419758.0
Belgium,156034.88,11488980.0
Belize,1666.37,390351.0
Benin,1339.52,11801151.0
Bhutan,154.9,763094.0
Bolivia,65589.84,11513102.0
Bosnia and Herzegovina,23332.28,3300998.0
Botswana,2707.11,2303703.0
Brazil,2586516.25,211049519.0
Bulgaria,32161.9,6975761.0
Burkina Faso,1409.44,20321383.0
Burundi,286.41,11530577.0
Cabo Verde,3539.33,549936.0
Cambodia,183.75,16486542.0
Cameroon,12266.5,25876387.0
Canada,8778.820625000002,37601230.0
Central African Republic,2767.97,4745179.0
Chad,805.52,15946882.0
Chile,267963.62,18952035.0
China,2529.0908823529417,1407745000.0
Colombia,450268.51,50339443.0
Comoros,282.01,850891.0
Costa Rica,42056.1,5047561.0
Cote d'Ivoire,10746.71,25716554.0
Croatia,28759.34,4065253.0
Cuba,3481.27,11333484.0
Cyprus,2861.24,1198574.0
Denmark,8997.836666666666,5814422.0
Djibouti,3482.12,973557.0
Dominica,26.71,71808.0
Dominican Republic,61352.83,10738957.0
Ecuador,81871.28,17373657.0
El Salvador,15686.79,6453550.0
Equatorial Guinea,2724.42,1355982.0
Estonia,3935.87,1326855.0
Eswatini,2700.65,1148133.0
Ethiopia,37196.18,112078727.0
Fiji,22.17,889955.0
Finland,9558.02,5521606.0
France,50474.86666666667,67248926.0
Gabon,4958.58,2172578.0
Georgia,26877.15,3720161.0
Germany,332167.99,83092962.0
Ghana,25130.31,30417858.0
Greece,23119.11,10721582.0
Grenada,24.08,112002.0
Guatemala,47852.41,16604026.0
Guinea,6216.02,12771246.0
Guinea-Bissau,1411.54,1920917.0
Guyana,1590.46,782775.0
Haiti,4915.92,11263079.0
Honduras,41774.16,9746115.0
Hungary,45104.69,9771141.0
Iceland,2341.62,360563.0
India,3142841.27,1366417756.0
Indonesia,175576.01,270625567.0
Iraq,187300.81,39309789.0
Ireland,30332.72,4934340.0
Israel,120356.37,9054000.0
Italy,438552.92,59729081.0
Jamaica,3333.51,2948277.0
Japan,53527.46,126633000.0
Jordan,40843.25,10101697.0
Kazakhstan,74520.33,18513673.0
Kenya,25755.06,52573967.0
Kiribati,0.0,117608.0
Kosovo,11330.55,1788878.0
Kuwait,60405.63,4207077.0
Latvia,4401.63,1913822.0
Lebanon,32056.43,6855709.0
Lesotho,784.97,2125267.0
Liberia,797.71,4937374.0
Libya,22052.59,6777453.0
Liechtenstein,315.32,38020.0
Lithuania,14066.95,2794137.0
Luxembourg,9938.71,620001.0
Madagascar,7900.32,26969306.0
Malawi,2848.06,18628749.0
Malaysia,18278.72,31949789.0
Maldives,5156.4,530957.0
Mali,2145.05,19658023.0
Malta,2666.84,504062.0
Marshall Islands,0.6,58791.0
Mauritania,4363.63,4525698.0
Mauritius,304.97,1265711.0
Mexico,431948.44,127575529.0
Moldova,35606.48,2664974.0
Monaco,198.43,38967.0
Mongolia,262.58,3225166.0
Montenegro,8783.7,622028.0
Morocco,91969.46,36471766.0
Mozambique,4728.81,30366043.0
Namibia,5251.85,2494524.0
Nepal,61570.23,28608715.0
Netherlands,30238.847999999998,17344874.0
New Zealand,683.19,4979200.0
Nicaragua,2248.8,6545503.0
Niger,960.41,23310719.0
Nigeria,32556.84,200963603.0
North Macedonia,16872.83,2076694.0
Norway,12838.78,5347896.0
Oman,55228.9,4974992.0
Pakistan,193423.54,216565317.0
Palau,0.0,18001.0
Panama,66003.67,4246440.0
Papua New Guinea,245.0,8776119.0
Paraguay,23740.55,7044639.0
Peru,419219.78,32510462.0
Philippines,155164.73,108116622.0
Poland,202268.44,37965475.0
Portugal,82693.51,10286263.0
Qatar,76859.14,2832071.0
Romania,121234.36,19371648.0
Rwanda,2422.51,12626938.0
Samoa,0.23,197093.0
San Marino,717.36,33864.0
Sao Tome and Principe,562.58,215048.0
Saudi Arabia,187917.48,34268529.0
Senegal,8126.48,16296362.0
Serbia,46102.28,6945235.0
Seychelles,80.66,97625.0
Sierra Leone,1297.34,7813207.0
Singapore,36227.95,5703569.0
Slovenia,16280.4,2088385.0
Solomon Islands,3.11,669821.0
Somalia,2361.24,15442906.0
South Africa,355930.86,58558267.0
South Sudan,1629.51,11062114.0
Spain,540632.31,47134837.0
Sri Lanka,6185.74,21803000.0
Sudan,8653.93,42813237.0
Suriname,2192.37,581363.0
Sweden,86675.19,10278887.0
Switzerland,84034.83,8575280.0
Tajikistan,5794.12,9321023.0
Tanzania,374.61,58005461.0
Thailand,2810.71,69625581.0
Timor-Leste,20.38,1293120.0
Togo,1106.46,8082359.0
Trinidad and Tobago,2017.63,1394969.0
Tunisia,22172.7,11694721.0
Uganda,5711.48,44269587.0
Ukraine,193937.68,44386203.0
United Arab Emirates,64502.96,9770526.0
United Kingdom,35953.334285714285,66836327.0
Uruguay,2208.85,3461731.0
Uzbekistan,28069.1,33580350.0
Vanuatu,0.15,299882.0
Vietnam,635.76,96462108.0
West Bank and Gaza,25371.59,4685306.0
Zambia,7054.73,17861034.0
Zimbabwe,3873.28,14645473.0
